base_seg_id	source	target	score	severity
_EN_DE_003752-01	While I welcome the Commissioner 's statement, I regret the fact that the Commission 's work has not been more balanced recognising, for example, that there is a dark side to globalisation, too and has not been more ambitious.	Ich begrüße zwar die Erklärung des Kommissars, bedauere jedoch, dass die Arbeit der Kommission nicht ausgewogener war und beispielsweise nicht anerkannt hat, dass die Globalisierung auch eine Schattenseite hat, und dass sie nicht ehrgeiziger war. [MISSING]	8	minor, minor
_EN_DE_003752-02	Why did the Commission not take up Mr Verhofstadt 's suggestion that we should have a G8 not based on wealth and composed of the richest nations, but based on population and composed of the world 's major regional bodies, thereby involving the African Union, Mercosur, the South Asian Area of Regional Cooperation (SAARC) and so on?	Warum hat die Kommission den Vorschlag von Herrn Verhofstadt nicht aufgegriffen, dass wir einen G8-Gipfel nicht auf der Grundlage des Wohlstands und unter Beteiligung der reichsten Nationen, sondern auf der Grundlage der Bevölkerungszahl und unter Beteiligung der wichtigsten regionalen Organisationen der Welt, darunter die Afrikanische Union, der Mercosur, die Südasiatische Vereinigung für regionale Zusammenarbeit (SAARC) usw., veranstalten sollten? [MISSING]	8	major
_EN_DE_003752-03	Globalism has led to a world of interconnected communities.	Die Globalisierung hat zu einer Welt miteinander verbundener Gemeinschaften geführt. [MISSING]	7	major
_EN_DE_003752-04	Technology and language learning have transformed our ability to communicate.	Technologie und Sprachenlernen haben unsere Kommunikationsfähigkeit verändert. [MISSING]	9	minor
_EN_DE_003752-05	Trade and investment have changed our economic perspectives and vastly increased our wealth.	Handel und Investitionen haben unsere wirtschaftlichen Perspektiven verändert und unseren Wohlstand enorm gesteigert. [MISSING]	10	
_EN_DE_003752-06	Travel has opened up new horizons and new opportunities for human contact.	Das Reisen hat neue Horizonte und neue Möglichkeiten für zwischenmenschliche Kontakte eröffnet. [MISSING]	10	
_EN_DE_003752-07	And yet all this has not come without a cost, because criminals have organised themselves into global networks; humankind 's damage to our natural environment threatens the future viability of life on our planet; and powerlessness and alienation are restricting opportunities for far too many to develop their own abilities and to improve the lot of themselves and their families.	Und doch hat all dies seinen Preis, denn Kriminelle haben sich zu globalen Netzwerken zusammengeschlossen; die von den Menschen verursachten Schäden an unserer natürlichen Umwelt bedrohen die Zukunftsfähigkeit des Lebens auf unserem Planeten; und Machtlosigkeit und Entfremdung schränken die Möglichkeiten viel zu vieler Menschen ein, ihre eigenen Fähigkeiten zu entwickeln und ihr Schicksal und das ihrer Familien zu verbessern. [MISSING]	10	
_EN_DE_003752-08	History, Mr President, suggests that if the world were truly a global village, many more would be shocked by the misery of the poor.	Die Geschichte, Herr Präsident, zeigt, dass, wenn die Welt wirklich ein globales Dorf wäre, viel mehr Menschen über das Elend der Armen schockiert wären. [MISSING]	7	major
_EN_DE_003752-09	Of 6 billion human beings, half are living on less than EUR 2 per day and 800 million are going to sleep hungry every night.	Von 6 Milliarden Menschen leben die Hälfte von weniger als 2 Euro pro Tag, und 800 Millionen gehen jeden Abend hungrig zu Bett. [MISSING]	8	major
_EN_DE_003752-10	I say, therefore, to our friends on the Right that yes, the market economy, if intelligently regulated, is the most powerful instrument known to mankind to lift people out of poverty.	Ich sage daher unseren Freunden auf der rechten Seite: Ja, die Marktwirtschaft ist, wenn sie intelligent reguliert wird, das mächtigste Instrument, das die Menschheit kennt, um Menschen aus der Armut zu befreien. [MISSING]	9	minor
_EN_DE_003752-11	That we have not yet learned to use it properly, however, is shown by financial crises, by environmental degradation and by the continued spread of preventable disease.	Dass wir jedoch noch nicht gelernt haben, sie richtig einzusetzen, zeigen Finanzkrisen, Umweltzerstörung und die anhaltende Ausbreitung vermeidbarer Krankheiten. [MISSING]	10	
_EN_DE_003752-12	Moreover, our failure to reach 0.7% of GDP in development aid is depriving the poor of EUR 100 billion per annum.	Darüber hinaus entgehen den Armen jährlich 100 Milliarden Euro, weil wir es nicht schaffen, 0,7 % des BIP für Entwicklungshilfe aufzuwenden. [MISSING]	9	minor
_EN_DE_003752-13	I say to the Left that we need to reform our trade policies because aid and debt relief for developing countries without access to our markets can be nothing more than a palliative.	Der Linken sage ich, dass wir unsere Handelspolitik reformieren müssen, denn Hilfe und Schuldenerlass für Entwicklungsländer ohne Zugang zu unseren Märkten können nur ein Notbehelf sein. [MISSING]	8	minor
_EN_DE_003752-14	To the Greens I would say that access to scientific progress is also important.	Den Grünen möchte ich sagen, dass auch der Zugang zu wissenschaftlichem Fortschritt wichtig ist. [MISSING]	10	
_EN_DE_003752-15	It is the key to better nutrition, to improved health and life expectancy and to rising living standards.	Er ist der Schlüssel zu besserer Ernährung, besserer Gesundheit und Lebenserwartung sowie zu steigendem Lebensstandard. [MISSING]	9	minor
