base_seg_id	source	target	score	severity	bleu	chrf	ter	comet_ref	comet_qe	auto_rank	deepl	ht
_DE_EN_018529-01	In der Tat es ist von Ihnen erwähnt worden und von dem Kollegen Brok wir sind gemeinsam in einer schwierigen wirtschaftlichen Situation.	As you and Mr Brok have said, both Europe and the United States are indeed in a difficult economic situation. [MISSING]	10		24.94805049	51.63542742	55	0.8362318277	0.8270301819	human	Indeed, as you and Mr. Brok have mentioned, we are all facing a difficult economic situation.	As you and Mr Brok have said, both Europe and the United States are indeed in a difficult economic situation.
_DE_EN_018529-02	In Europa ist es vielleicht sichtbarer, aber auch in den Vereinigten Staaten von Amerika ist das klar.	In Europe it is perhaps more obvious, but it is clearly the case in the United States, too. [MISSING]	9		24.69263864	44.41035415	72.22222222	0.9218739867	0.8561013937	human	This may be more apparent in Europe, but it is also evident in the United States of America.	In Europe it is perhaps more obvious, but it is clearly the case in the United States, too.
_DE_EN_018529-03	Es war schon bei G20 ein bisschen betrüblich, wenn man den Informationen glauben darf, wie manche Länder Argentinien etc. uns jetzt belehrt haben, die Hausaufgaben zu machen.	At the G20 it was a little distressing, if the information is to be believed, to see that some countries Argentina and others were telling us what to do. [MISSING]	9		34.12525042	53.64955956	55.17241379	0.7526594996	0.7531570196	human	It was somewhat disheartening at the G20 summit, if the information is to be believed, to hear countries such as Argentina lecturing us on how to do our homework.	At the G20 it was a little distressing, if the information is to be believed, to see that some countries Argentina and others were telling us what to do.
_DE_EN_018529-04	Früher waren immer wir diejenigen, die die anderen belehrt haben.	Previously, we were always the ones who instructed others. [MISSING]	10		46.92470064	52.57604795	55.55555556	0.8846029639	0.8258280158	human	In the past, we were always the ones lecturing others.	Previously, we were always the ones who instructed others.
_DE_EN_018529-05	Jetzt werden wir von den anderen belehrt, und das muss uns und unseren Bürgern schon zu denken geben, dass wir wirklich jetzt mit aller Kraft unsere wirtschaftliche Situation in Ordnung bringen.	Now we are being taught by the others, and that has to give us and our citizens reason to reflect on the fact that we really should do everything we can now to put our economic situation in order. [MISSING]	9		41.22646445	65.54403299	35.8974359	0.8450707793	0.7922375798	human	Now we are being lectured by others, and that should give us and our citizens pause for thought, so that we really do everything in our power to put our economic situation in order.	Now we are being taught by the others, and that has to give us and our citizens reason to reflect on the fact that we really should do everything we can now to put our economic situation in order.
_DE_EN_018529-06	Was wir aber gemeinsam mit Amerika tun können, ist sicherlich, in verschiedenen Bereichen Innovationsgemeinschaften zu bilden.	What we can certainly do together with America, however, is to form innovation communities in various areas. [MISSING]	10		39.49593992	70.48546657	26.31578947	0.9014270306	0.8537103534	best	What we can certainly do together with America, however, is to form innovation communities in various areas.	However, what we certainly can do together with the US is to form innovation communities in various different areas.
_DE_EN_018529-07	In unserer Entschließung schneiden wir das an, z. B. in dem Energiebereich.	We address this in our resolution, for example in the energy sector. [MISSING]	10		79.65485887	84.35240942	15.38461538	0.9260120392	0.8321449757	best	We address this in our resolution, for example in the energy sector.	We touch on this in our resolution, for example in the energy sector.
_DE_EN_018529-08	Gerade auch in dem Bereich von Energiesparen und Energieeffizienz sind wir noch vielfach besser als die Amerikaner, aber dennoch können wir hier gemeinsam forschen.	We are still much better than the Americans in many areas, particularly in the field of energy saving and energy efficiency, but we can still conduct joint research here. [MISSING]	7		31.1773041	58.58425698	58.06451613	0.8906641006	0.8506110311	best	We are still much better than the Americans in many areas, particularly in the field of energy saving and energy efficiency, but we can still conduct joint research here.	In the area of energy saving and energy efficiency in particular we are many times better than the United States, but we can still carry out research together in this area.
_DE_EN_018529-09	Oder z. B. auf dem Gebiet der Seltenen Erden ich nehme an, der Kollege wird noch darüber reden gibt es eine Reihe von Möglichkeiten, wo Amerika und Europa gemeinsam vorgehen und auch global Zeichen setzen können.	Or, for example, in the field of rare earths – I assume my colleague will talk about this later – there are a number of opportunities where America and Europe can work together and also set a global example. [MISSING]	9		30.25214638	52.93282936	52.5	0.834813416	0.8471227884	best	Or, for example, in the field of rare earths – I assume my colleague will talk about this later – there are a number of opportunities where America and Europe can work together and also set a global example.	Another example is the area of rare earths I assume my fellow Member will also speak about this there are a number of possible areas where the United States and Europe can work together and also make their mark globally.
_DE_EN_018529-10	Drittens: Was ich Sie bitte, Herr Kommissar, ist, darauf zu drängen, dass wir natürlich auch über die Frage der internationalen Regulierung, der Regulierungsrahmen reden.	Thirdly, Commissioner, I would ask you to insist that we also discuss the issue of international regulation and the regulatory framework. [MISSING]	10		66.4362735	85.47615267	18.18181818	0.908649087	0.819327116	best	Thirdly, Commissioner, I would ask you to insist that we also discuss the issue of international regulation and the regulatory framework.	Thirdly, I would ask you, Commissioner, to insist that we, naturally, also discuss the issue of international regulation and the regulatory framework.
