base_seg_id	lpair	source	ht	mt	src_doc_id
_DE_EN_018529-01	deen	In der Tat es ist von Ihnen erwähnt worden und von dem Kollegen Brok wir sind gemeinsam in einer schwierigen wirtschaftlichen Situation.	As you and Mr Brok have said, both Europe and the United States are indeed in a difficult economic situation.	Indeed, as you and Mr. Brok have mentioned, we are all facing a difficult economic situation.	ORG_WR_DE_EN_018529
_DE_EN_018529-02	deen	In Europa ist es vielleicht sichtbarer, aber auch in den Vereinigten Staaten von Amerika ist das klar.	In Europe it is perhaps more obvious, but it is clearly the case in the United States, too.	This may be more apparent in Europe, but it is also evident in the United States of America.	ORG_WR_DE_EN_018529
_DE_EN_018529-03	deen	Es war schon bei G20 ein bisschen betrüblich, wenn man den Informationen glauben darf, wie manche Länder Argentinien etc. uns jetzt belehrt haben, die Hausaufgaben zu machen.	At the G20 it was a little distressing, if the information is to be believed, to see that some countries Argentina and others were telling us what to do.	It was somewhat disheartening at the G20 summit, if the information is to be believed, to hear countries such as Argentina lecturing us on how to do our homework.	ORG_WR_DE_EN_018529
_DE_EN_018529-04	deen	Früher waren immer wir diejenigen, die die anderen belehrt haben.	Previously, we were always the ones who instructed others.	In the past, we were always the ones lecturing others.	ORG_WR_DE_EN_018529
_DE_EN_018529-05	deen	Jetzt werden wir von den anderen belehrt, und das muss uns und unseren Bürgern schon zu denken geben, dass wir wirklich jetzt mit aller Kraft unsere wirtschaftliche Situation in Ordnung bringen.	Now we are being taught by the others, and that has to give us and our citizens reason to reflect on the fact that we really should do everything we can now to put our economic situation in order.	Now we are being lectured by others, and that should give us and our citizens pause for thought, so that we really do everything in our power to put our economic situation in order.	ORG_WR_DE_EN_018529
_DE_EN_018529-06	deen	Was wir aber gemeinsam mit Amerika tun können, ist sicherlich, in verschiedenen Bereichen Innovationsgemeinschaften zu bilden.	However, what we certainly can do together with the US is to form innovation communities in various different areas.	What we can certainly do together with America, however, is to form innovation communities in various areas.	ORG_WR_DE_EN_018529
_DE_EN_018529-07	deen	In unserer Entschließung schneiden wir das an, z. B. in dem Energiebereich.	We touch on this in our resolution, for example in the energy sector.	We address this in our resolution, for example in the energy sector.	ORG_WR_DE_EN_018529
_DE_EN_018529-08	deen	Gerade auch in dem Bereich von Energiesparen und Energieeffizienz sind wir noch vielfach besser als die Amerikaner, aber dennoch können wir hier gemeinsam forschen.	In the area of energy saving and energy efficiency in particular we are many times better than the United States, but we can still carry out research together in this area.	We are still much better than the Americans in many areas, particularly in the field of energy saving and energy efficiency, but we can still conduct joint research here.	ORG_WR_DE_EN_018529
_DE_EN_018529-09	deen	Oder z. B. auf dem Gebiet der Seltenen Erden ich nehme an, der Kollege wird noch darüber reden gibt es eine Reihe von Möglichkeiten, wo Amerika und Europa gemeinsam vorgehen und auch global Zeichen setzen können.	Another example is the area of rare earths I assume my fellow Member will also speak about this there are a number of possible areas where the United States and Europe can work together and also make their mark globally.	Or, for example, in the field of rare earths – I assume my colleague will talk about this later – there are a number of opportunities where America and Europe can work together and also set a global example.	ORG_WR_DE_EN_018529
_DE_EN_018529-10	deen	Drittens: Was ich Sie bitte, Herr Kommissar, ist, darauf zu drängen, dass wir natürlich auch über die Frage der internationalen Regulierung, der Regulierungsrahmen reden.	Thirdly, I would ask you, Commissioner, to insist that we, naturally, also discuss the issue of international regulation and the regulatory framework.	Thirdly, Commissioner, I would ask you to insist that we also discuss the issue of international regulation and the regulatory framework.	ORG_WR_DE_EN_018529
_DE_EN_018529-11	deen	Wir wissen bei den Finanzmärkten, was immer wir auch in Europa tun können, das müssen wir tun.	With regard to the financial markets, we know that, in Europe too, we have to do whatever we can.	We know that when it comes to the financial markets, whatever we can do in Europe, we must do.	ORG_WR_DE_EN_018529
_DE_EN_018529-12	deen	Aber wenn wir nicht zumindest in gewissen Bereichen gemeinsam mit den Amerikanern vorgehen und dann auch noch gemeinsam China und andere überzeugen, dass wir mehr Regulierung insbesondere auf den Finanzmärkten brauchen, wird das nicht gehen.	However, if we do not work with the United States, at least in certain areas, and then together also convince China and others that we need more regulation particularly on the financial markets it will not be possible.	But if we do not at least work together with the Americans in certain areas and then also convince China and others that we need more regulation, especially in the financial markets, it will not work.	ORG_WR_DE_EN_018529
_DE_EN_018529-13	deen	Ich meine, dazu gehört auch die Finanztransaktionssteuer.	I believe that this also includes the financial transaction tax.	I believe that this also includes the financial transaction tax.	ORG_WR_DE_EN_018529
_DE_EN_018529-14	deen	Ich weiß, das ist noch nicht einmal in Europa durch. Aber das ist auch ein Thema, das gerade in dem Dialog mit den Vereinigten Staaten besprochen werden muss.	I know that this has not even been accepted in Europe yet, but it is also a subject that needs to be discussed in talks with the United States.	I know that this has not even been implemented in Europe yet. But this is also an issue that needs to be discussed in the dialogue with the United States.	ORG_WR_DE_EN_018529
_DE_EN_018529-15	deen	Der letzte Punkt der Außenpolitik: Herr Kommissar, Sie haben zu recht darauf hingewiesen, dass es viele gute Bereiche der Zusammenarbeit gibt.	My last point relates to foreign policy. Commissioner, you rightly pointed out that there are a lot of good areas for cooperation.	The last point on foreign policy: Commissioner, you rightly pointed out that there are many areas of good cooperation.	ORG_WR_DE_EN_018529
_DE_EN_018529-16	deen	Was den Nahen Osten betrifft, so sind wir sehr oft von den Vereinigten Staaten von Amerika hängen gelassen worden, vor allem auch in dem letzten Sommer, als auch mehrere Delegationen des Parlaments in den USA waren und wir gemerkt haben, dass Catherine Ashton nicht die volle Unterstützung bekommen hätte, sondern erst lang nachher, als schon manches zu spät war.	As far as the Middle East is concerned, we have very often been left high and dry by the United States, particularly last summer when several delegations from Parliament were in the US and we noticed that Baroness Ashton did not receive full support. She only received it long after it was already too late in many respects.	As far as the Middle East is concerned, we have very often been let down by the United States of America, especially last summer, when several parliamentary delegations were in the US and we realized that Catherine Ashton would not have received full support until much later, when it was already too late.	ORG_WR_DE_EN_018529
_DE_EN_018529-17	deen	Da hätte man die ganze Palästina-Frage bei den Vereinten Nationen besser behandeln können.	We could have handled the whole Palestine issue better with the United Nations.	The whole Palestinian issue could have been handled better at the United Nations.	ORG_WR_DE_EN_018529
_DE_EN_018529-18	deen	Was wir aber als Fraktion vollkommen ablehnen und kritisieren, ist das Verhalten der USA insbesondere in dem Zusammenhang mit der Unesco.	However, what we as a group absolutely reject and are highly critical of is the behaviour of the United States in connection with UNESCO in particular.	However, what we as a group completely reject and criticize is the behavior of the US, particularly in relation to UNESCO.	ORG_WR_DE_EN_018529
_DE_EN_018529-19	deen	Demokratische Entscheidungen, demokratische Mehrheitsentscheidungen mit Sanktionen oder mit Geldentzug zu bestrafen, ist kein Weg, wie man den Frieden in dem Nahen Osten herstellen kann.	Penalising democratic decisions, democratic majority decisions, with sanctions or the withdrawal of funds is no way to establish peace in the Middle East.	Punishing democratic decisions, democratic majority decisions, with sanctions or with the withdrawal of funds is not the way to bring peace to the Middle East.	ORG_WR_DE_EN_018529
_DE_EN_018529-20	deen	Das sollte die Europäische Union den Amerikanern auch bei dem Gipfel klar und deutlich sagen!	That is something that the European Union should also make very clear to the United States at the summit.	The European Union should make this clear to the Americans at the summit!	ORG_WR_DE_EN_018529
_DE_EN_003953-01	deen	Ich möchte ihnen danken, weil sich das transatlantische Verhältnis in einer sehr schwierigen Phase befindet.	I wish to thank them because transatlantic relations are currently going through a very difficult phase.	I would like to thank them because transatlantic relations are currently going through a very difficult phase.	ORG_WR_DE_EN_003953
_DE_EN_003953-02	deen	Wir müssen sehen, dass diese Wertegemeinschaft die erfolgreichste Allianz in der Geschichte der Menschheit war. Sie hat Wohlfahrt, Demokratie und Menschenrechte nicht nur für Europa und Nordamerika gesichert und durchgesetzt, sondern auch in vielen anderen Teilen der Welt, und sie hat zu viel Positivem in dieser Welt beigetragen.	We must admit that this community of values has been the most successful alliance in the history of mankind; it has brought prosperity, democracy and human rights not just to Europe and North America, but to many other parts of the world too and it has brought about much that is good in this world.	We must recognize that this community of values has been the most successful alliance in human history. It has secured and enforced welfare, democracy, and human rights not only for Europe and North America, but also in many other parts of the world, and it has contributed so much positivity to this world.	ORG_WR_DE_EN_003953
_DE_EN_003953-03	deen	Aber wir müssen nun feststellen, dass nach diesem Triumph manches nicht mehr so funktioniert.	We must also admit, however, that a great deal has gone wrong since this triumph.	But we must now recognize that, after this triumph, some things are no longer working as they should.	ORG_WR_DE_EN_003953
_DE_EN_003953-04	deen	Da ist auf der einen Seite der Übermut des Unilateralismus, der zu Schwierigkeiten führt, und auf der anderen Seite Schwäche, nämlich auf unserer Seite, insbesondere unsere Unfähigkeit, in dem militärischen Bereich einen Beitrag zu leisten, und daraus entstehen Schwierigkeiten, die wir täglich sehen und die hier zu dem Teil auch aufgeführt wurden.	There is an excess of unilateralism causing difficulties on the one side and there are weaknesses on the other side, namely our side mainly our inability to make a military contribution which generate the difficulties we see on a daily basis, some of which have already been mentioned.	On the one hand, there is the hubris of unilateralism, which leads to difficulties, and on the other hand, there is weakness, namely on our side, in particular our inability to make a contribution in the military sphere, and this gives rise to difficulties that we see every day and which have also been mentioned here in part.	ORG_WR_DE_EN_003953
_DE_EN_003953-05	deen	Der Internationale Strafgerichtshof, Kyoto, Handelsfragen oder die Tatsache, dass in dem Zusammenhang mit der Bekämpfung der Folgen des 11. September die NATO den Eindruck eines ausgehöhlten Gebäudes macht, all dies ist Anlass zu großer Sorge, und wir müssen auch sehen, dass es richtig ist, dass man bei dem Nahostquartett vorankommt, aber gemeinsam ist man in Jerusalem und Ramallah noch nicht aufgetreten, und ich glaube, hier muss der entsprechende Ansatzpunkt liegen.	The International Criminal Court, Kyoto, trade issues or the fact that the fight against the fallout from 11 September is making NATO look like it no longer has any teeth; all this gives us great cause for concern and, although it is true that progress is being made in the Middle East, we still have no joint presence in Jerusalem or Ramallah and I think that this is where the starting point must be.	The International Criminal Court, Kyoto, trade issues, or the fact that, in the context of combating the consequences of September 11, NATO gives the impression of being a hollowed-out building—all of this is cause for great concern, and we must also recognize that it is right to make progress in the Middle East Quartet, but Jerusalem and Ramallah have not yet acted together, and I believe that this is where the appropriate starting point must lie.	ORG_WR_DE_EN_003953
_DE_EN_003953-06	deen	Ich meine, dass der Ansatz einer Lösung von Einzelfragen, etwa der Frage der hushkits oder Bananen, nicht der entscheidende Ansatzpunkt sein kann, weil dies ein Wettlauf ist, den man nie gewinnen kann, denn wenn man ein Problem gelöst hat, kommen zwei neue dazu.	I think that there is no point in starting with individual problems, such as the question of hushkits or bananas, because this is a race you can never win. Just as you think you have got one problem sorted, another two spring up.	I believe that the approach of resolving individual issues, such as the question of hushkits or bananas, cannot be the decisive starting point, because this is a race that can never be won; once one problem has been solved, two new ones arise.	ORG_WR_DE_EN_003953
_DE_EN_003953-07	deen	Das heißt, dieser Ansatzpunkt allein bringt uns nicht weiter, und deswegen bin ich dem Berichterstatter so dankbar, dass er in seinen Vorschlägen insbesondere strukturelle Verbesserungen vorschlägt, dass wir die Diskussion in eine neue Richtung hinein eröffnen, dass wir über die NATO hinaus strukturelle Beziehungen zu den Vereinigten Staaten entwickeln, wie dies zu Beginn und Mitte der 90er Jahre in dem Rahmen der transatlantischen Agenda zu dem Teil auch angedacht worden war.	So this starting point alone gets us nowhere, which is why I an dem so grateful to the rapporteur for including mainly structural improvements in his proposals, for suggesting that we move the discussion in a new direction, that we develop structural relations with the United States over and above NATO, which was one of the intentions of the transatlantic agenda in the early and mid-1990s.	In other words, this approach alone will not get us anywhere, and that is why I am so grateful to the rapporteur for proposing structural improvements in particular, for opening up the discussion in a new direction, for developing structural relations with the United States beyond NATO, as was also envisaged in part in the early and mid-1990s within the framework of the transatlantic agenda.	ORG_WR_DE_EN_003953
_DE_EN_003953-08	deen	Die Frage ist, ob wir zu Lösungen kommen, die mit bilateralen Konfliktlösungsmechanismen in dem Handelsbereich verbunden sind, ohne dass dabei der Multilateralismus gestört wird, ob wir diese Fragen in dem Zusammenhang mit dem transatlantic market place diskutieren oder ob wir einen Vertrag zwischen den Vereinigten Staaten und der Europäischen Union schließen, ein Rahmenwerk, in welcher Weise wir hier die Beziehungen verbessern können, denn ein solcher Vertrag hat den unschätzbaren Vorteil, dass er den amerikanischen Kongress einbezieht.	The question is: can we find solutions using bilateral trade dispute settlement mechanisms without disturbing multilateralism, do we discuss these issues in connection with the transatlantic market place or do we conclude an agreement between the United States and the European Union, a master agreement as to how relations can be improved here, because this sort of agreement has the incalculable advantage of involving the American Congress.	The question is whether we can arrive at solutions that involve bilateral conflict resolution mechanisms in the area of trade without disrupting multilateralism, whether we should discuss these issues in the context of the transatlantic marketplace, or whether we should conclude a treaty between the United States and the European Union, a framework for improving relations in this area, because such an agreement has the invaluable advantage of involving the US Congress.	ORG_WR_DE_EN_003953
